period,start_date,end_date,role,policy,reduced_position_pct,equity_multiple,executed_trade_count,skipped_trade_count,loss_overlay_hit_count,win_rate,avg_account_return,median_account_return,max_loss,max_drawdown,actual_start_date,actual_end_date
year_2026,20260101,20261231,year,hard_exclude,,1.36441939866504,9,1,1,0.7777777777777778,0.0361029467190137,0.0397618491523106,-0.0350052172427846,-0.0350052172427846,20260115,20260417
year_2026,20260101,20261231,year,reduce_position,0.4,1.3298353813266632,10,0,1,0.7,0.029957946268800034,0.03752132864265305,-0.0350052172427846,-0.0350052172427846,20260115,20260417
year_2026,20260101,20261231,year,reduce_position,0.2,1.3471273899958516,10,0,1,0.7,0.03122529915795618,0.03752132864265305,-0.0350052172427846,-0.0350052172427846,20260115,20260417
train_2024,20240101,20241231,train,baseline,,3.0367110521229073,13,0,1,0.8461538461538461,0.0952011306589565,0.0575251788211788,-0.0825430297500238,-0.08254302975002381,20240520,20241227
train_2024,20240101,20241231,train,hard_exclude,,3.309922046039397,12,1,1,0.9166666666666666,0.11001314402637152,0.0589686399921604,-0.0251537565931826,-0.02515375659318253,20240520,20241227
train_2024,20240101,20241231,train,reduce_position,0.4,3.1733165490811523,13,0,1,0.8461538461538461,0.09837586257241895,0.0575251788211788,-0.0412715148750119,-0.041271514875012016,20240520,20241227
train_2024,20240101,20241231,train,reduce_position,0.2,3.2416192975602747,13,0,1,0.8461538461538461,0.09996322852915017,0.0575251788211788,-0.0251537565931826,-0.02515375659318253,20240520,20241227
test_2025_2026,20250101,20261231,test,baseline,,14.82086558770587,46,0,4,0.6956521739130435,0.06730539404964594,0.0365084484342436,-0.1072601608998818,-0.10726016089988166,20250102,20260417
test_2025_2026,20250101,20261231,test,hard_exclude,,19.118632053445374,42,4,4,0.7619047619047619,0.07954583923316984,0.0426065408094145,-0.0714087122182405,-0.07140871221824052,20250102,20260417
test_2025_2026,20250101,20261231,test,reduce_position,0.4,16.87547730066794,46,0,4,0.6956521739130435,0.06996710189213964,0.0365084484342436,-0.0714087122182405,-0.0786739651049504,20250102,20260417
test_2025_2026,20250101,20261231,test,reduce_position,0.2,17.972845382110965,46,0,4,0.6956521739130435,0.0712979558133865,0.0365084484342436,-0.0714087122182405,-0.07140871221824052,20250102,20260417
train_2024_2025,20240101,20251231,train,baseline,,34.74745333881112,49,0,4,0.7346938775510204,0.08284551877439328,0.0491300292270718,-0.1072601608998818,-0.11007584698669093,20240520,20251231
train_2024_2025,20240101,20251231,train,hard_exclude,,46.37956759170177,45,4,4,0.8,0.09635903234752151,0.0553002037962039,-0.0714087122182405,-0.07140871221824052,20240520,20251231
train_2024_2025,20240101,20251231,train,reduce_position,0.4,40.269067994287674,49,0,4,0.7346938775510204,0.08566925383248714,0.0491300292270718,-0.0714087122182405,-0.0786739651049504,20240520,20251231
train_2024_2025,20240101,20251231,train,reduce_position,0.2,43.24841351707455,49,0,4,0.7346938775510204,0.08708112136153405,0.0491300292270718,-0.0714087122182405,-0.07140871221824052,20240520,20251231
test_2026,20260101,20261231,test,baseline,,1.2952513639882868,10,0,1,0.7,0.02742324049048774,0.03752132864265305,-0.0506941155662459,-0.050694115566246034,20260115,20260417
test_2026,20260101,20261231,test,hard_exclude,,1.36441939866504,9,1,1,0.7777777777777778,0.0361029467190137,0.0397618491523106,-0.0350052172427846,-0.0350052172427846,20260115,20260417
test_2026,20260101,20261231,test,reduce_position,0.4,1.3298353813266632,10,0,1,0.7,0.029957946268800034,0.03752132864265305,-0.0350052172427846,-0.0350052172427846,20260115,20260417
test_2026,20260101,20261231,test,reduce_position,0.2,1.3471273899958516,10,0,1,0.7,0.03122529915795618,0.03752132864265305,-0.0350052172427846,-0.0350052172427846,20260115,20260417
