signal_date,strategy_leg,ts_code,name,buy_date,exit_rule,hold_offset,matched_condition_profile_ids,matched_strategy_branch_ids,resolved_exit_profile_id,fill_probability,planned_buy_amount,available_fill_amount,status,exit_date,stock_return_before_fees,entry_reference_price,entry_price,exit_reference_price,exit_price,buy_adj_factor,sell_adj_factor,position_scale,account_return,entry_filled,position_opened,outcome_observable,position_open_until,action_date
20241204,C,002629.SZ,仁智股份,20241205,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,49379027.198296,OK,20241209,0.14664059344910418,3.76,3.7637599999999996,4.32,4.31568,3.727,3.727,1.0,0.11995649701893857,True,True,True,20241209,20241205
20241226,C,603893.SH,瑞芯微,20241227,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,1768107961.155646,OK,20241231,-0.0668583816149868,117.71,117.82770999999998,110.06,109.94994,1.0246,1.0246,1.0,-0.05603748671884991,True,True,True,20241231,20241227
20250109,C,600410.SH,华胜天成,20250110,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,254200251.96734804,OK,20250114,-0.011312687312687308,7.5,7.507499999999999,7.43,7.4225699999999994,12.667,12.667,1.0,-0.010249407329670324,True,True,True,20250114,20250110
20250114,C,600601.SH,方正科技,20250115,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,732718474.836902,OK,20250117,0.1023296230396824,5.07,5.075069999999999,5.6,5.594399999999999,6471.278,6471.278,1.0,0.08342955723714171,True,True,True,20250117,20250115
20250212,C,603171.SH,税友股份,20250213,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,664179646.3680251,OK,20250217,0.012745209336118668,44.0,44.044,44.65,44.60535,1.024,1.024,1.0,0.00958228071615904,True,True,True,20250217,20250213
20250217,C,603286.SH,日盈电子,20250218,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,107816345.30464353,OK,20250220,0.16669412676875361,26.8,26.8268,31.33,31.298669999999998,1.019,1.019,1.0,0.1364872612340085,True,True,True,20250220,20250218
20250221,C,000032.SZ,深桑达Ａ,20250224,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,783289970.0550189,OK,20250226,0.13967199350193038,28.46,28.488459999999996,32.5,32.4675,4.23,4.23,1.0,0.11421205882943489,True,True,True,20250226,20250224
20250224,C,002515.SZ,金字火腿,20250225,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,276301044.597704,OK,20250227,0.03026499362706292,4.64,4.644639999999999,4.79,4.78521,11.199,11.199,1.0,0.02402439516033562,True,True,True,20250227,20250225
20250307,C,603300.SH,海南华铁,20250310,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK4_10_FD01_03,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK4_10_FD01_03,1.0,412500.0,2252738580.1998253,OK,20250312,0.031185771834151055,12.03,12.042029999999999,12.43,12.41757,5.5933,5.5933,1.0,0.024783421871146447,True,True,True,20250312,20250310
20250318,C,002086.SZ,东方海洋,20250319,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK4_10_FD01_03,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK4_10_FD01_03,1.0,412500.0,715160862.058371,OK,20250321,0.1036727977904448,3.4,3.4033999999999995,3.76,3.7562399999999996,4.127,4.127,1.0,0.0845367788299935,True,True,True,20250321,20250319
20250401,C,603693.SH,江苏新能,20250402,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK4_10_FD01_03,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK4_10_FD01_03,1.0,412500.0,752263536.9605271,OK,20250407,0.11832324480253487,13.52,13.533519999999998,15.15,15.13485,1.4118,1.4118,1.0,0.09661360745375196,True,True,True,20250407,20250402
20250408,C,600108.SH,亚盛集团,20250409,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,216746715.12841997,OK,20250411,-0.06955506032429104,3.25,3.2532499999999995,3.03,3.02697,9.7649,9.7649,1.0,-0.0582604445984784,True,True,True,20250411,20250409
20250409,C,001256.SZ,炜冈科技,20250410,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,46817205.295828,OK,20250414,0.07899369860908334,26.0,26.025999999999996,28.11,28.081889999999998,1.023,1.023,1.0,0.06419301381339823,True,True,True,20250414,20250410
20250410,C,002187.SZ,广百股份,20250411,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,168380812.736766,OK,20250415,0.0005349979969271335,7.88,7.887879999999999,7.9,7.8921,2.51,2.51,1.0,-0.00048298416494656145,True,True,True,20250415,20250411
20250421,C,603119.SH,浙江荣泰,20250422,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,268634809.244295,OK,20250424,0.17140484515484533,40.0,40.03999999999999,46.95,46.90305,1.31,1.31,1.0,0.14037045596497266,True,True,True,20250424,20250422
20250429,C,605599.SH,菜百股份,20250430,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK4_10_FD01_03,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK4_10_FD01_03,1.0,412500.0,341582234.68228006,OK,20250507,0.0722028900467564,13.45,13.463449999999998,14.45,14.43555,1.128,1.128,1.0,0.05859513470730027,True,True,True,20250507,20250430
20250529,C,600686.SH,金龙汽车,20250530,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,319452589.930896,OK,20250604,-0.059125012918116115,14.5,14.514499999999998,13.67,13.65633,13.0849,13.0849,1.0,-0.04966262536756326,True,True,True,20250604,20250530
20250611,C,600232.SH,金鹰股份,20250612,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK2_3_FD01_03_LD_5_15,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK2_3_FD01_03_LD_5_15,1.0,412500.0,366107801.55654395,OK,20250617,-0.02603359310372866,8.0,8.008,7.72,7.71228,3.3229,3.3605,1.0,-0.022384317361984575,True,True,True,20250617,20250612
20250624,C,603155.SH,新亚强,20250625,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK4_10_FD01_03,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK4_10_FD01_03,1.0,412500.0,488717682.870727,OK,20250627,0.10711213919770124,16.83,16.846829999999997,18.67,18.65133,2.2973,2.2973,1.0,0.08737193715108464,True,True,True,20250627,20250625
20250627,C,000700.SZ,模塑科技,20250630,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK4_10_FD01_03,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK4_10_FD01_03,1.0,412500.0,331041546.63634026,OK,20250702,-0.008503882037128374,7.67,7.677669999999999,7.62,7.61238,17.8319,17.8319,1.0,-0.007934019961459596,True,True,True,20250702,20250630
20250709,C,000514.SZ,渝 开 发,20250710,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK4_10_FD01_03,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK4_10_FD01_03,1.0,412500.0,669637188.5176003,OK,20250715,0.09655078463855915,6.38,6.386379999999999,7.01,7.00299,4.4343,4.4343,1.0,0.07866587726497658,True,True,True,20250715,20250710
20250807,C,600475.SH,华光环能,20250808,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK4_10_FD01_03,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK4_10_FD01_03,1.0,412500.0,1649832151.694588,OK,20250812,0.09293389537291996,20.5,20.5205,22.45,22.42755,5.2207,5.2207,1.0,0.075684360607076,True,True,True,20250812,20250808
20250812,C,600246.SH,万通发展,20250813,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK2_3_FD01_03_LD_LT5,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK2_3_FD01_03_LD_LT5,1.0,412500.0,1584271217.8527842,OK,20250815,0.160518170354236,9.15,9.159149999999999,10.64,10.62936,12.463,12.463,1.0,0.13139622427490547,True,True,True,20250815,20250813
20250813,C,603337.SH,杰克股份,20250814,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,963782732.3605669,OK,20250818,0.061605833332368576,51.78,51.831779999999995,55.08,55.02492,2.4329,2.4329,1.0,0.04985964440107972,True,True,True,20250818,20250814
20250814,C,603256.SH,宏和科技,20250815,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,1764729703.602175,OK,20250818,0.16581345604050446,30.39,30.420389999999998,35.5,35.4645,1.04,1.04,1.0,0.1357612963914171,True,True,True,20250818,20250815
20250819,C,601689.SH,拓普集团,20250820,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,3678468919.511609,OK,20250822,0.0823039004521855,54.22,54.27421999999999,58.8,58.7412,2.3151,2.3151,1.0,0.06692171829157585,True,True,True,20250822,20250820
20250826,C,601869.SH,XD长飞光,20250827,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK4_10_FD01_03,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK4_10_FD01_03,1.0,412500.0,1926515127.746522,OK,20250829,0.2648289210789214,72.0,72.07199999999999,91.25,91.15875,1.0895,1.0895,1.0,0.2173828879635992,True,True,True,20250829,20250827
20250827,C,603181.SH,皇马科技,20250828,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,907318982.19375,OK,20250829,-0.13415351771516126,19.71,19.729709999999997,17.1,17.082900000000002,3.1869,3.1869,1.0,-0.11151100402679488,True,True,True,20250829,20250828
20250828,C,000061.SZ,农 产 品,20250829,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK4_10_FD01_03,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK4_10_FD01_03,1.0,412500.0,1396067096.756376,OK,20250902,-0.05697775278613593,8.35,8.358349999999998,7.89,7.88211,22.8076,22.8076,1.0,-0.0478925706652628,True,True,True,20250902,20250829
20251010,C,601212.SH,白银有色,20251013,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK4_10_FD01_03,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK4_10_FD01_03,1.0,412500.0,2497797756.521214,OK,20251015,0.06506142079264654,5.06,5.065059999999999,5.4,5.3946000000000005,1.004,1.004,1.0,0.052708194859488695,True,True,True,20251015,20251013
20251113,C,002837.SZ,英维克,20251114,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,2897001935.8460603,OK,20251118,0.018408516144209797,72.87,72.94287,74.36,74.28564,11.1562,11.1562,1.0,0.014250724328059712,True,True,True,20251118,20251114
20251201,C,000078.SZ,海王生物,20251202,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,1672976934.3899198,OK,20251204,0.26326042378673953,3.8,3.8037999999999994,4.81,4.80519,20.484,20.484,1.0,0.21608992584586462,True,True,True,20251204,20251202
20251218,C,002703.SZ,浙江世宝,20251219,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK4_10_FD01_03,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK4_10_FD01_03,1.0,412500.0,1103076008.2044785,OK,20251223,0.2106481753540579,15.3,15.315299999999999,18.56,18.541439999999998,2.5624,2.5624,1.0,0.1727199790239174,True,True,True,20251223,20251219
20251222,C,000551.SZ,创元科技,20251223,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,314104487.99465203,OK,20251225,0.3015381803497519,12.79,12.802789999999998,16.68,16.66332,9.5905,9.5905,1.0,0.2476434958995266,True,True,True,20251225,20251223
20251225,C,603163.SH,圣晖集成,20251226,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK4_10_FD01_03,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK4_10_FD01_03,1.0,412500.0,993245940.0,OK,20251230,-0.17681847895814495,85.06,85.14505999999999,70.16,70.08984,1.3436,1.3436,1.0,-0.1466810861919058,True,True,True,20251230,20251226
20251226,C,000688.SZ,国城矿业,20251229,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,1631149024.0344784,OK,20251231,-0.044941289347485425,29.05,29.07905,27.8,27.7722,4.9735,4.9735,1.0,-0.03797053169506902,True,True,True,20251231,20251229
