trade_date,ts_code,name,market_segment,segment_limit_max_height_bucket,segment_retreat_state_bucket,market_chain_count_bucket,market_emotion_state_bucket,volume_ratio_bucket,n_branch,n_rule_id,first_time,first_time_minutes,circ_mv,limit_close,fill_probability,fill_space_ratio,fill_probability_method,model_training_end_date,execution_status,buy_date,exit_date,exit_rule,stock_return_before_fees,strategy_version,sample_scope
20240621,000628.SZ,高新发展,sz_main,4_5,warming_2day,3_8,mixed,1_2,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,142118,861.0,872784.4378,45.44,1.0,1108.8196418932023,asof_turnover_space_proxy_v2,20240620.0,OK,20240624,20240625,FIXED_CLOSE,-0.07880076445293815,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240625,600216.SH,浙江医药,sh_main,4_5,neutral,3_8,mixed,2_4,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,100251,602.0,1047218.8543,10.89,1.0,1096.0858899160392,asof_turnover_space_proxy_v2,20240624.0,OK,20240626,20240627,FIXED_CLOSE,0.014743876812842505,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240705,600521.SH,华海药业,sh_main,4_5,retreat_2day,3_8,mixed,2_4,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,135618,836.0,2609357.9527,17.79,1.0,1743.029770033555,asof_turnover_space_proxy_v2,20240704.0,OK,20240708,20240709,FIXED_CLOSE,-0.02849363026354157,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240708,301300.SZ,远翔新材,chi_next,1,retreat_weak,3_8,ice_point,4_8,CURRENT,LOW_HEIGHT_RETREAT_FIRST_TIME,93515,575.0,77978.0842,25.7,1.0,95.12692941878788,asof_turnover_space_proxy_v2,20240705.0,OK,20240709,20240710,FIXED_CLOSE,0.17994821063413124,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240709,002130.SZ,沃尔核材,sz_main,2,neutral,3_8,mixed,1_2,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,135303,833.0,2031116.4838,16.26,1.0,2494.1504583746523,asof_turnover_space_proxy_v2,20240708.0,OK,20240710,20240711,FIXED_CLOSE,-0.01430382194870472,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240710,002920.SZ,德赛西威,sz_main,3,neutral,3_8,mixed,2_4,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,95521,595.0,5587374.7078,101.31,1.0,10610.160012175997,asof_turnover_space_proxy_v2,20240709.0,OK,20240711,20240712,FIXED_CLOSE,0.032800241716325784,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240715,301016.SZ,雷尔伟,chi_next,1,retreat_2day,3_8,retreat,4_8,CURRENT,LOW_HEIGHT_RETREAT_FIRST_TIME,95136,591.0,238524.0,15.29,1.0,457.6419710060606,asof_turnover_space_proxy_v2,20240712.0,OK,20240716,20240717,FIXED_CLOSE,0.2451560978206746,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240716,688256.SH,寒武纪-U,star,1,weak_below_3,3_8,mixed,2_4,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,135657,836.0,10408195.7638,249.84,1.0,21753.94690782487,asof_turnover_space_proxy_v2,20240715.0,OK,20240717,20240718,FIXED_CLOSE,0.022147207631078913,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240725,600611.SH,大众交通,sh_main,4_5,neutral,3_8,mixed,lt_1,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,103510,635.0,1222513.3966,7.82,1.0,1000.125257192308,asof_turnover_space_proxy_v2,20240724.0,OK,20240726,20240729,INTRADAY_LIMIT_UP_MINUS_OFFSET,0.12814015253039668,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240802,300204.SZ,舒泰神,chi_next,1,retreat_weak,8_15,retreat,4_8,CURRENT,LOW_HEIGHT_RETREAT_FIRST_TIME,93506,575.0,347126.4394,7.36,1.0,523.7745931567476,asof_turnover_space_proxy_v2,20240801.0,OK,20240805,20240806,FIXED_CLOSE,0.03158214598322284,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
