overlay_rule,overlay_action,overlay_reduced_position_pct,year,trade_count,period_return,win_rate,avg_account_return,max_drawdown
market_limit_down_count_bucket=lt_5,hard_exclude,,2024,9,1.132585063688174,0.7777777777777778,0.09567965655472938,-0.08254302975002392
market_limit_down_count_bucket=lt_5,hard_exclude,,2025,27,8.389237745870851,0.7407407407407407,0.09610497825804422,-0.10683334681309975
market_limit_down_count_bucket=lt_5,hard_exclude,,2026,5,0.15856995092890291,0.6,0.032043893841934214,-0.05069411556624592
market_limit_down_count_bucket=lt_5,reduce_position,0.4,2024,13,1.5587891966464547,0.8461538461538461,0.08072044644457689,-0.08254302975002381
market_limit_down_count_bucket=lt_5,reduce_position,0.4,2025,35,8.798865937725088,0.6857142857142857,0.0755113601192707,-0.10683334681309986
market_limit_down_count_bucket=lt_5,reduce_position,0.4,2026,11,0.3059905643358547,0.7272727272727273,0.025695763641437653,-0.05069411556624592
market_limit_down_count_bucket=lt_5,reduce_position,0.2,2024,13,1.3394315604755929,0.8461538461538461,0.07348010433738708,-0.08254302975002381
market_limit_down_count_bucket=lt_5,reduce_position,0.2,2025,35,8.604683204088063,0.6857142857142857,0.07482474310202383,-0.10683334681309986
market_limit_down_count_bucket=lt_5,reduce_position,0.2,2026,11,0.23088110777049642,0.7272727272727273,0.020130584966612967,-0.05069411556624592
market_segment=chi_next,hard_exclude,,2024,2,0.21119943505019756,1.0,0.10130451019065148,0.0
market_segment=chi_next,hard_exclude,,2025,11,4.209327166535347,0.8181818181818182,0.17483300243932337,-0.027607807201236567
market_segment=chi_next,hard_exclude,,2026,1,0.10277278550591107,1.0,0.10277278550591112,0.0
market_segment=chi_next,reduce_position,0.4,2024,13,0.9693434929684659,0.8461538461538461,0.05539321995952837,-0.041271514875011905
market_segment=chi_next,reduce_position,0.4,2025,35,6.439261574995546,0.6857142857142857,0.06591605460306162,-0.05416574201298907
market_segment=chi_next,reduce_position,0.4,2026,11,0.27667007931656973,0.7272727272727273,0.023084550745812206,-0.02534705778312285
market_segment=chi_next,reduce_position,0.2,2024,13,0.556044503808683,0.8461538461538461,0.035489264609814296,-0.020635757437505897
market_segment=chi_next,reduce_position,0.2,2025,35,5.266833177113159,0.6857142857142857,0.06043178482771019,-0.03777331175524734
market_segment=chi_next,reduce_position,0.2,2026,11,0.18792574387541228,0.7272727272727273,0.016213765623174788,-0.01267352889156148
open_times_bucket=0,hard_exclude,,2024,8,1.51654878541594,1.0,0.12778172783929762,0.0
open_times_bucket=0,hard_exclude,,2025,26,2.1992447818446137,0.6153846153846154,0.05275183746276264,-0.10726016089988188
open_times_bucket=0,hard_exclude,,2026,9,0.24571926258332133,0.6666666666666666,0.026052283972507435,-0.05069411556624592
open_times_bucket=0,reduce_position,0.4,2024,13,1.7825530408170134,0.8461538461538461,0.08691802004926215,-0.041271514875012016
open_times_bucket=0,reduce_position,0.4,2025,35,4.907387926846094,0.6857142857142857,0.058035836705908346,-0.10726016089988188
open_times_bucket=0,reduce_position,0.4,2026,11,0.35360994411099944,0.7272727272727273,0.029070813029751105,-0.05069411556624581
open_times_bucket=0,reduce_position,0.2,2024,13,1.6508543784089702,0.8461538461538461,0.08277646474441497,-0.020635757437505786
open_times_bucket=0,reduce_position,0.2,2025,35,3.395125953938032,0.6857142857142857,0.048611457981980286,-0.10726016089988188
open_times_bucket=0,reduce_position,0.2,2026,11,0.2992595083806715,0.7272727272727273,0.025193159049083137,-0.05069411556624592
open_times_bucket=2_3,hard_exclude,,2024,11,1.790225099194176,0.8181818181818182,0.10463197826603103,-0.08254302975002381
open_times_bucket=2_3,hard_exclude,,2025,23,5.953266920008638,0.6956521739130435,0.09852001033052905,-0.11592633624317017
open_times_bucket=2_3,hard_exclude,,2026,10,0.43687338687671673,0.7,0.03856924428426482,-0.05069411556624581
open_times_bucket=2_3,reduce_position,0.4,2024,13,1.912298863369681,0.8461538461538461,0.09186794074972214,-0.08254302975002392
open_times_bucket=2_3,reduce_position,0.4,2025,35,7.489196624681204,0.6857142857142857,0.07081315761405604,-0.0786739651049505
open_times_bucket=2_3,reduce_position,0.4,2026,11,0.45080738612365456,0.7272727272727273,0.03594453517020934,-0.05069411556624592
open_times_bucket=2_3,reduce_position,0.2,2024,13,1.850969678209713,0.8461538461538461,0.09020134579510497,-0.08254302975002381
open_times_bucket=2_3,reduce_position,0.2,2025,35,6.707308284626095,0.6857142857142857,0.06777743934420187,-0.08104624834848695
open_times_bucket=2_3,reduce_position,0.2,2026,11,0.4438403865001854,0.7272727272727273,0.035503742259770495,-0.05069411556624592
prev_pct_chg_bucket=0_3,hard_exclude,,2024,10,1.786189774468796,1.0,0.11266840557376567,0.0
prev_pct_chg_bucket=0_3,hard_exclude,,2025,29,5.0537665826776434,0.6551724137931034,0.07297814512497328,-0.16705409117844705
prev_pct_chg_bucket=0_3,hard_exclude,,2026,7,0.33684754467875555,0.7142857142857143,0.04399303259502255,-0.0350052172427846
prev_pct_chg_bucket=0_3,reduce_position,0.4,2024,13,1.9259304580291121,0.8461538461538461,0.09093456747323428,-0.041271514875011905
prev_pct_chg_bucket=0_3,reduce_position,0.4,2025,35,6.935776450864843,0.6857142857142857,0.06867610005722831,-0.10726016089988188
prev_pct_chg_bucket=0_3,reduce_position,0.4,2026,11,0.4013268691053755,0.7272727272727273,0.032410843593959786,-0.0350052172427846
prev_pct_chg_bucket=0_3,reduce_position,0.2,2024,13,1.859739411757673,0.8461538461538461,0.08880128588037318,-0.020635757437505897
prev_pct_chg_bucket=0_3,reduce_position,0.2,2025,35,5.958609557212314,0.6857142857142857,0.06457185300896022,-0.10726016089988188
prev_pct_chg_bucket=0_3,reduce_position,0.2,2026,11,0.36920456557818504,0.7272727272727273,0.03020320489539616,-0.0350052172427846
prev_pct_chg_bucket=neg3_0,hard_exclude,,2024,12,1.943301812324918,0.8333333333333334,0.10048987417776302,-0.08254302975002381
prev_pct_chg_bucket=neg3_0,hard_exclude,,2025,26,7.755042387625796,0.7307692307692307,0.09691958971617545,-0.10683334681309975
prev_pct_chg_bucket=neg3_0,hard_exclude,,2026,10,0.40872776450179904,0.7,0.03653254817496468,-0.05069411556624581
prev_pct_chg_bucket=neg3_0,reduce_position,0.4,2024,13,1.9900064322239124,0.8461538461538461,0.09398050725767657,-0.08254302975002381
prev_pct_chg_bucket=neg3_0,reduce_position,0.4,2025,35,8.472429485882573,0.6857142857142857,0.07444100182860452,-0.10683334681309975
prev_pct_chg_bucket=neg3_0,reduce_position,0.4,2026,11,0.4367345749361946,0.7272727272727273,0.03501876421143656,-0.05069411556624592
prev_pct_chg_bucket=neg3_0,reduce_position,0.2,2024,13,1.9666541222744156,0.8461538461538461,0.0933701955570366,-0.0825430297500237
prev_pct_chg_bucket=neg3_0,reduce_position,0.2,2025,35,8.12185336706268,0.6857142857142857,0.07321920566602458,-0.10683334681309986
prev_pct_chg_bucket=neg3_0,reduce_position,0.2,2026,11,0.4227311697189968,0.7272727272727273,0.03411508582161132,-0.05069411556624581
retreat_state_bucket=neutral,hard_exclude,,2024,11,2.154920699846829,0.9090909090909091,0.11554797264448968,-0.02515375659318242
retreat_state_bucket=neutral,hard_exclude,,2025,18,1.2481879220413727,0.6111111111111112,0.056423993285505354,-0.17937144880378364
retreat_state_bucket=neutral,hard_exclude,,2026,3,0.03363600613438078,0.6666666666666666,0.012272736503220296,-0.05069411556624592
retreat_state_bucket=neutral,reduce_position,0.4,2024,13,2.099014446167385,0.8461538461538461,0.09648624606368543,-0.041271514875011794
retreat_state_bucket=neutral,reduce_position,0.4,2025,35,3.961043122378655,0.6857142857142857,0.05295132392172646,-0.10726016089988188
retreat_state_bucket=neutral,reduce_position,0.4,2026,11,0.23633500507710803,0.7272727272727273,0.020086615473255378,-0.05069411556624592
retreat_state_bucket=neutral,reduce_position,0.2,2024,13,2.1277672155527356,0.8461538461538461,0.09712880376604988,-0.02515375659318264
retreat_state_bucket=neutral,reduce_position,0.2,2025,35,2.376780454757998,0.6857142857142857,0.04098468880570746,-0.1421737152608198
retreat_state_bucket=neutral,reduce_position,0.2,2026,11,0.13186179941038856,0.7272727272727273,0.011716862714339547,-0.05069411556624592
retreat_state_bucket=warming_2day,hard_exclude,,2024,12,2.1150666811931735,0.9166666666666666,0.10523070459663475,-0.08254302975002392
retreat_state_bucket=warming_2day,hard_exclude,,2025,31,10.028747796376567,0.7419354838709677,0.0890727904207526,-0.10657095319676058
retreat_state_bucket=warming_2day,hard_exclude,,2026,10,0.3713299068141984,0.7,0.03369698938853598,-0.05069411556624592
retreat_state_bucket=warming_2day,reduce_position,0.4,2024,13,2.0758888666580404,0.8461538461538461,0.09616858283561736,-0.08254302975002381
retreat_state_bucket=warming_2day,reduce_position,0.4,2025,35,9.605682031100972,0.6857142857142857,0.07788881854892979,-0.0786739651049505
retreat_state_bucket=warming_2day,reduce_position,0.4,2026,11,0.4180356460923942,0.7272727272727273,0.033729873853968965,-0.05069411556624592
retreat_state_bucket=warming_2day,reduce_position,0.2,2024,13,2.095477773925607,0.8461538461538461,0.09665230892394779,-0.08254302975002381
retreat_state_bucket=warming_2day,reduce_position,0.2,2025,35,9.82586092155003,0.6857142857142857,0.07839093074651247,-0.07836329446258095
retreat_state_bucket=warming_2day,reduce_position,0.2,2026,11,0.39468277645329675,0.7272727272727273,0.03218175028540993,-0.050694115566246034
segment_retreat_state_bucket=retreat_weak,hard_exclude,,2024,7,0.6855593482032134,0.8571428571428571,0.07950735756805061,-0.02515375659318242
