overlay_rule,overlay_action,overlay_reduced_position_pct,rule_factor_count,rule_set_count,initial_cash,final_equity,equity_multiple,executed_trade_count,skipped_trade_count,rule_hit_count,rule_hit_loss_count,rule_hit_win_rate_original,rule_hit_avg_original_return,win_rate,avg_account_return,median_account_return,max_profit,max_loss,max_drawdown,max_consecutive_losses
first_time_detail_bucket=before_1000;turnover_rate_bucket=6_10 OR prev_pct_chg_bucket=neg3_0;turnover_rate_bucket=15_25,hard_exclude,,4,2,500000.0,27505142.04950124,55.01028409900248,51,8,8,2,0.375,-0.023453001097219123,0.7843137254901961,0.08865268301231176,0.05530020379620392,0.4980539655009626,-0.07140871221824048,-0.10683334681309986,2
amount_ratio_bucket=3_5;prev_pct_chg_bucket=0_3 OR prev_pct_chg_bucket=neg3_0;retreat_state_bucket=warming_2day,hard_exclude,,4,2,500000.0,27498321.78763609,54.99664357527218,54,5,5,2,0.4,-0.037991010489537444,0.7592592592592593,0.08377070143144137,0.05131510731701773,0.4980539655009626,-0.07140871221824048,-0.10683334681309975,2
amount_ratio_bucket=3_5;prev_pct_chg_bucket=0_3 OR retreat_state_bucket=warming_2day;segment_retreat_state_bucket=weak_below_3,hard_exclude,,4,2,500000.0,27498321.78763609,54.99664357527218,54,5,5,2,0.4,-0.037991010489537444,0.7592592592592593,0.08377070143144137,0.05131510731701773,0.4980539655009626,-0.07140871221824048,-0.10683334681309975,2
amount_ratio_bucket=3_5;prev_pct_chg_bucket=0_3 OR retreat_state_bucket=warming_2day;turnover_rate_bucket=15_25,hard_exclude,,4,2,500000.0,27498321.78763609,54.99664357527218,54,5,5,2,0.4,-0.037991010489537444,0.7592592592592593,0.08377070143144137,0.05131510731701773,0.4980539655009626,-0.07140871221824048,-0.10683334681309975,2
amount_ratio_bucket=2_3;open_times_bucket=2_3 OR amount_ratio_bucket=3_5;prev_pct_chg_bucket=0_3,reduce_position,0.2,4,2,500000.0,27394698.587475624,54.78939717495125,59,0,6,2,0.3333333333333333,-0.04114466165152124,0.7288135593220338,0.0765900644454575,0.0454512324665184,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,2
amount_ratio_bucket=2_3;retreat_state_bucket=warming_2day OR amount_ratio_bucket=3_5;turnover_rate_bucket=6_10,hard_exclude,,4,2,500000.0,27344703.347444758,54.68940669488951,55,4,4,2,0.25,-0.04525019786884088,0.7636363636363637,0.08208479302410018,0.04577258215919176,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,2
amount_ratio_bucket=2_3;retreat_state_bucket=warming_2day OR open_times_bucket=0;turnover_rate_bucket=6_10,hard_exclude,,4,2,500000.0,27344703.347444758,54.68940669488951,55,4,4,2,0.25,-0.04525019786884088,0.7636363636363637,0.08208479302410018,0.04577258215919176,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,2
amount_ratio_bucket=2_3;retreat_state_bucket=warming_2day OR segment_retreat_state_bucket=retreat_weak;turnover_rate_bucket=6_10,hard_exclude,,4,2,500000.0,27344703.347444758,54.68940669488951,55,4,4,2,0.25,-0.04525019786884088,0.7636363636363637,0.08208479302410018,0.04577258215919176,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,2
amount_ratio_bucket=3_5;turnover_rate_bucket=6_10 OR retreat_state_bucket=warming_2day;volume_ratio_bucket=2_4,hard_exclude,,4,2,500000.0,27344703.347444758,54.68940669488951,55,4,4,2,0.25,-0.04525019786884088,0.7636363636363637,0.08208479302410018,0.04577258215919176,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,2
open_times_bucket=0;turnover_rate_bucket=6_10 OR retreat_state_bucket=warming_2day;volume_ratio_bucket=2_4,hard_exclude,,4,2,500000.0,27344703.347444758,54.68940669488951,55,4,4,2,0.25,-0.04525019786884088,0.7636363636363637,0.08208479302410018,0.04577258215919176,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,2
retreat_state_bucket=warming_2day;volume_ratio_bucket=2_4 OR segment_retreat_state_bucket=retreat_weak;turnover_rate_bucket=6_10,hard_exclude,,4,2,500000.0,27344703.347444758,54.68940669488951,55,4,4,2,0.25,-0.04525019786884088,0.7636363636363637,0.08208479302410018,0.04577258215919176,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,2
amount_ratio_bucket=2_3;retreat_state_bucket=warming_2day OR first_time_detail_bucket=before_1000;turnover_rate_bucket=6_10,reduce_position,0.2,4,2,500000.0,27158930.99823285,54.317861996465695,59,0,5,2,0.2,-0.046338981408321885,0.7288135593220338,0.07639718652765007,0.03976184915231056,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,2
first_time_detail_bucket=before_1000;turnover_rate_bucket=6_10 OR retreat_state_bucket=warming_2day;volume_ratio_bucket=2_4,reduce_position,0.2,4,2,500000.0,27158930.99823285,54.317861996465695,59,0,5,2,0.2,-0.046338981408321885,0.7288135593220338,0.07639718652765007,0.03976184915231056,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,2
amount_ratio_bucket=2_3;prev_pct_chg_bucket=neg3_0 OR first_time_detail_bucket=before_1000;turnover_rate_bucket=6_10,hard_exclude,,4,2,500000.0,27115222.77130044,54.230445542600876,55,4,4,2,0.25,-0.04328054809593682,0.7636363636363637,0.08194154576788897,0.04577258215919176,0.4980539655009626,-0.07140871221824048,-0.10683334681309986,2
first_time_detail_bucket=before_1000;turnover_rate_bucket=6_10 OR retreat_state_bucket=warming_2day,hard_exclude,,3,2,500000.0,27046659.118506208,54.09331823701242,51,8,8,2,0.25,-0.020071146569303623,0.803921568627451,0.08812219602754072,0.04913002922707176,0.4980539655009626,-0.07140871221824048,-0.10657095319676047,2
fd_ratio_bucket=0_5pct_1pct;retreat_state_bucket=warming_2day OR first_time_detail_bucket=before_1000;turnover_rate_bucket=6_10,hard_exclude,,4,2,500000.0,27046659.118506208,54.09331823701242,51,8,8,2,0.25,-0.020071146569303623,0.803921568627451,0.08812219602754072,0.04913002922707176,0.4980539655009626,-0.07140871221824048,-0.10657095319676047,2
first_time_detail_bucket=before_1000;turnover_rate_bucket=6_10 OR market_segment=chi_next;retreat_state_bucket=warming_2day,hard_exclude,,4,2,500000.0,27046659.118506208,54.09331823701242,51,8,8,2,0.25,-0.020071146569303623,0.803921568627451,0.08812219602754072,0.04913002922707176,0.4980539655009626,-0.07140871221824048,-0.10657095319676047,2
first_time_detail_bucket=1100_1330;turnover_rate_bucket=15_25 OR first_time_detail_bucket=before_1000;turnover_rate_bucket=6_10,hard_exclude,,4,2,500000.0,26980002.386983294,53.96000477396659,53,6,6,2,0.3333333333333333,-0.02760755457415825,0.7735849056603774,0.08489260664707729,0.04913002922707176,0.4980539655009626,-0.07140871221824048,-0.10683334681309986,2
