signal_date,strategy_leg,ts_code,name,buy_date,exit_rule,hold_offset,matched_condition_profile_ids,fill_probability,planned_buy_amount,available_fill_amount,status,exit_date,stock_return_before_fees,entry_reference_price,entry_price,exit_reference_price,exit_price,buy_adj_factor,sell_adj_factor,position_scale,account_return,entry_filled,position_opened,outcome_observable,position_open_until,action_date
20251110,E,300997.SZ,欢乐家,20251111,fixed_t2_close,2,,1.0,412500.0,1073377139.598384,OK,20251112,0.16813955275493742,24.05,24.07405,28.15,28.12185,1.0805,1.0805,1.0,0.13767877176669488,True,True,True,20251112,20251111
20251127,E,688033.SH,天宜新材,20251128,fixed_t2_close,2,,1.0,412500.0,215441635.01904872,OK,20251201,-0.004829213339851646,7.05,7.057049999999999,7.03,7.02297,1.0159,1.0159,1.0,-0.004904873883563252,True,True,True,20251201,20251128
20251226,E,301246.SZ,宏源药业,20251229,fixed_t2_close,2,,1.0,412500.0,476005777.50768,OK,20251230,-0.0577630462023524,25.95,25.975949999999997,24.5,24.4755,1.0089,1.0089,1.0,-0.048539912961316,True,True,True,20251230,20251229
20251231,E,300058.SZ,蓝色光标,20260105,fixed_t2_close,2,,1.0,412500.0,4492638455.551216,OK,20260106,0.16518865749634992,11.7,11.711699999999999,13.66,13.64634,27.0302,27.0302,1.0,0.13524625511411675,True,True,True,20260106,20260105
20260116,E,301235.SZ,华康洁净,20260119,fixed_t2_close,2,,1.0,412500.0,357668036.74140704,OK,20260120,-0.01691550554708443,47.5,47.54749999999999,46.79,46.74321,1.0141,1.0141,1.0,-0.014867988289762817,True,True,True,20260120,20260119
20260121,E,300837.SZ,浙矿股份,20260122,fixed_t2_close,2,,1.0,412500.0,474144966.92269206,OK,20260123,0.09736102836237381,52.03,52.082029999999996,57.21,57.15279,1.0505,1.0505,1.0,0.07933378689175523,True,True,True,20260123,20260122
20260126,E,300139.SZ,晓程科技,20260127,fixed_hold3_close,3,,1.0,412500.0,1859845327.982364,OK,20260129,0.63580824769636,51.48,51.53147999999999,84.38,84.29562,5.161,5.161,1.0,0.5231929254879739,True,True,True,20260129,20260127
20260128,E,300164.SZ,通源石油,20260129,fixed_t2_close,2,,1.0,412500.0,949529450.609668,OK,20260130,0.058835727698989704,12.14,12.15214,12.88,12.86712,6.251,6.251,1.0,0.04757615837663166,True,True,True,20260130,20260129
20260202,E,002471.SZ,中超控股,20260203,fixed_t2_close,2,,1.0,412500.0,607145893.8337926,OK,20260204,0.040348413054835275,8.72,8.72872,9.09,9.08091,7.0316,7.0316,1.0,0.03233647794321521,True,True,True,20260204,20260203
20260209,E,300182.SZ,捷成股份,20260210,fixed_t2_close,2,,1.0,412500.0,2333060080.849519,OK,20260211,0.10403971028971037,8.0,8.008,8.85,8.841149999999999,30.863,30.863,1.0,0.08483923645260995,True,True,True,20260211,20260210
20260312,E,301396.SZ,宏景科技,20260313,fixed_t2_close,2,,1.0,412500.0,1430218971.9663851,OK,20260316,0.10896041458541461,144.0,144.14399999999998,160.01,159.84999,1.7075,1.7075,1.0,0.08889552923592034,True,True,True,20260316,20260313
20260401,E,301312.SZ,智立方,20260402,fixed_t2_close,2,,1.0,412500.0,686615979.411935,OK,20260403,0.12038187082261542,102.1,102.20209999999999,114.62,114.50538,3.0176,3.0176,1.0,0.0983105982434805,True,True,True,20260403,20260402
