scenario,condition,day_count,executed_trade_count,b_trade_count,a_trade_count,buy_rejected_count,sell_unresolved_count,review_required_count,no_candidate_count,position_occupied_skip_count,win_rate,avg_account_return,median_account_return,max_profit,max_loss,profit_loss_ratio,initial_equity,final_equity,equity_multiple,max_drawdown,path_conflict_count,limit_down_blocked_trade_count,live_order_enabled,c_trade_count,candidate_return_source_count,audit_or_replay_return_source_count,strict_rank,approx_equity_multiple,approx_executed_trade_count,approx_win_rate,approx_max_drawdown
A_plus_B_plus_C_0404,market_chain_count_bucket=15_30;first_time_detail_bucket=1000_1100,481,89,25,47,0,0,5,345,42,0.6853932584269663,0.04991627813830772,0.02679383844840416,0.4980539655009626,-0.11800704531551723,2.1725239736772033,500000.0,24663413.660787564,49.32682732157513,-0.15357470302960574,0,0,False,17,0,89,1,5.036410576562869,69,0.5652173913043478,-0.3165590564554457
A_plus_B_plus_C_1894,market_chain_count_bucket=8_15;segment_limit_up_count_bucket=20_40;fd_ratio_bucket=0_1pct_0_3pct,481,102,22,47,0,0,4,319,56,0.6666666666666666,0.042637475033152905,0.0233633388841279,0.4744497307792882,-0.09607655101397267,2.3358523915212768,500000.0,24413452.152821615,48.82690430564323,-0.22417474617828848,0,1,False,33,0,102,28,1.862293605772359,60,0.5166666666666667,-0.22294044438149563
A_plus_B_plus_C_2093,segment_limit_up_count_bucket=40_80;open_times_bucket=2_3;turnover_rate_bucket=3_6,481,97,22,50,0,0,4,333,47,0.6391752577319587,0.04471537376832491,0.020473450062133,0.4980539655009626,-0.11800704531551723,2.7350143869136105,500000.0,22909728.80106732,45.81945760213464,-0.13636773737941088,0,0,False,25,0,97,77,1.4437372223789553,39,0.4358974358974359,-0.25018693336604547
A_plus_B_plus_C_1197,fd_ratio_bucket=0_1pct_0_3pct;limit_times_detail_bucket=3,481,91,23,50,2,0,5,342,41,0.6703296703296703,0.04602715109644451,0.026949625580932914,0.4980539655009626,-0.14082353318685611,1.9410206344922614,500000.0,18771662.326894347,37.543324653788694,-0.1914802291481078,0,0,False,18,0,91,62,1.537969187704066,40,0.5,-0.24727899141675957
A_plus_B_plus_C_0795,segment_limit_up_count_bucket=10_20;first_time_detail_bucket=before_1000,481,93,24,47,0,0,5,333,50,0.6451612903225806,0.037412783258602436,0.020473450062133,0.4980539655009626,-0.11800704531551723,2.04896211855084,500000.0,10565810.217078699,21.131620434157398,-0.1559041037772222,0,2,False,22,0,93,8,2.4378055728678163,99,0.5555555555555556,-0.2364206617802428
C_1263_strict,segment_emotion_state_bucket=mixed;turnover_rate_bucket=6_10,323,38,0,0,2,0,0,252,31,0.6842105263157895,0.023360529381690285,0.017912219911911595,0.21081915756970307,-0.17114192653629492,1.052197632884663,500000.0,1087980.2321540446,2.175960464308089,-0.2458789531731248,0,2,False,38,0,38,6,2.70948487850071,128,0.515625,-0.32170656990453894
C_0857_strict,segment_limit_up_count_bucket=40_80;open_times_bucket=2_3,323,31,0,0,0,0,0,265,27,0.4838709677419355,0.012885144401219628,-0.00023306293706294723,0.11223838574736394,-0.12773537880301525,2.1037634421166613,500000.0,715293.5415763888,1.4305870831527776,-0.15462137282104604,0,1,False,31,0,31,41,1.7228988351208283,52,0.5192307692307693,-0.16084981396674425
C_0369_strict,market_chain_count_bucket=3_8;fd_ratio_bucket=0_1pct_0_3pct,323,26,0,0,0,0,0,276,21,0.5769230769230769,0.013872830168583254,0.004616979217849835,0.11675994935568422,-0.057399694030369056,1.548655490705238,500000.0,696206.5403664864,1.3924130807329729,-0.08667603138277291,0,0,False,26,0,26,30,1.8243439235554602,53,0.5849056603773585,-0.20657631043159352
C_2109_strict,segment_limit_up_count_bucket=10_20;open_times_bucket=2_3;turnover_rate_bucket=3_6,323,26,0,0,1,0,0,275,21,0.5769230769230769,0.01272767982127109,0.00734582995542846,0.1780766273726273,-0.11612226464444642,1.3827370897122664,500000.0,664985.1835717265,1.329970367143453,-0.19217891949767996,0,1,False,26,0,26,61,1.5380713073855845,36,0.5833333333333334,-0.20017324985617968
C_0615_strict,segment_chain_count_bucket=1_3;first_time_detail_bucket=before_1000,323,21,0,0,0,0,0,284,18,0.5238095238095238,0.014764951704558937,0.002017376442965854,0.19188049383583486,-0.14349097575595127,1.9252030807038094,500000.0,653762.1858885932,1.3075243717771865,-0.14982331421455886,0,0,False,21,0,21,55,1.5941478573161618,102,0.49019607843137253,-0.31887662855003174
