scenario,condition,day_count,executed_trade_count,b_trade_count,a_trade_count,buy_rejected_count,sell_unresolved_count,review_required_count,no_candidate_count,position_occupied_skip_count,win_rate,avg_account_return,median_account_return,max_profit,max_loss,profit_loss_ratio,initial_equity,final_equity,equity_multiple,max_drawdown,path_conflict_count,limit_down_blocked_trade_count,live_order_enabled,c_trade_count,candidate_return_source_count,audit_or_replay_return_source_count,strict_rank,approx_equity_multiple,approx_executed_trade_count,approx_win_rate,approx_max_drawdown
A_plus_B_plus_C_1459,market_emotion_state_bucket=main_rise;limit_times_detail_bucket=3,481,85,24,52,2,0,0,309,85,0.7176470588235294,0.05591552113626674,0.0326313425704338,0.4980539655009626,-0.1377967406386715,2.2316694845203844,500000.0,33311603.40684825,66.6232068136965,-0.13779674063867153,0,0,False,9,0,85,10,2.8767337931695804,42,0.5952380952380952,-0.36604296473568976
A_plus_B_plus_C_2051,market_segment=chi_next;segment_emotion_state_bucket=mixed;first_time_detail_bucket=1000_1100,481,92,25,50,0,0,0,296,93,0.717391304347826,0.05082498175555607,0.02915635420937055,0.4744497307792882,-0.11800704531551723,2.2172626913649136,500000.0,33102223.625398476,66.20444725079695,-0.13636773737941077,0,0,False,17,0,92,143,1.543498437784304,82,0.4878048780487805,-0.4153278226038175
A_plus_B_plus_C_2243,market_emotion_state_bucket=warming;segment_emotion_state_bucket=mixed;amount_ratio_bucket=2_3,481,80,25,52,0,0,0,322,79,0.725,0.05909200753426876,0.03218377550185595,0.4980539655009626,-0.11800704531551723,2.4558038274621006,500000.0,32810760.349043325,65.62152069808666,-0.13636773737941088,0,0,False,3,0,80,107,1.6569194578610438,26,0.5769230769230769,-0.15858842425208008
A_plus_B_plus_C_0769,segment_limit_up_count_bucket=40_80;segment_emotion_state_bucket=main_rise,481,87,24,51,1,0,0,305,88,0.7011494252873564,0.054162396011485064,0.0291749495998269,0.4980539655009626,-0.11800704531551723,2.47474940645404,500000.0,32367706.616511855,64.7354132330237,-0.1436342572080227,0,0,False,12,0,87,28,2.2210373241628876,34,0.6176470588235294,-0.14980916964566626
A_plus_B_plus_C_0351,market_chain_count_bucket=15_30;segment_limit_up_ratio_bucket=3pct_5pct,481,81,24,52,0,0,0,319,81,0.7283950617283951,0.05781051025817694,0.0326313425704338,0.4980539655009626,-0.11800704531551723,2.485751288691575,500000.0,31931388.194995612,63.862776389991225,-0.13636773737941088,0,0,False,5,0,81,152,1.5113454391575507,15,0.5333333333333333,-0.17696429503409616
A_plus_B_plus_C_1107,fd_ratio_bucket=0_5pct_1pct;market_emotion_state_bucket=warming,481,99,23,51,1,0,0,280,101,0.6767676767676768,0.04779551686989174,0.02464048591717308,0.4980539655009626,-0.11800704531551723,2.2343139394694163,500000.0,31926642.34801503,63.85328469603006,-0.2554884696218862,0,0,False,25,0,99,171,1.4534386939511708,38,0.5,-0.300812194047416
A_plus_B_plus_C_1381,market_emotion_state_bucket=warming;first_time_detail_bucket=before_1000,481,80,25,52,2,0,0,320,79,0.7375,0.05854334557873575,0.033956075351714646,0.4980539655009626,-0.11800704531551723,2.3103314290377246,500000.0,31861085.177597426,63.722170355194855,-0.13636773737941088,0,0,False,3,0,80,48,1.9972373848556415,38,0.5,-0.2675938741453766
A_plus_B_plus_C_2567,segment_chain_count_bucket=3_5;segment_limit_up_count_bucket=20_40;open_times_bucket=0;turnover_rate_bucket=6_10,481,91,24,48,0,0,0,295,95,0.7032967032967034,0.05149957261807008,0.026949625580932914,0.4980539655009626,-0.11800704531551723,2.3908705658225338,500000.0,31774850.469515316,63.54970093903063,-0.14037095247971132,0,0,False,19,0,91,47,2.0080069293013763,51,0.5490196078431373,-0.10689721667218377
A_plus_B_plus_C_0625,segment_chain_count_bucket=1_3;first_time_detail_bucket=before_1000,481,96,25,50,0,0,0,288,97,0.6875,0.04891057151964046,0.02804369219992356,0.4980539655009626,-0.14349097575595127,2.4849871314526277,500000.0,31758123.107047457,63.51624621409491,-0.14349097575595116,0,0,False,21,0,96,126,1.5941478573161618,102,0.49019607843137253,-0.31887662855003174
A_plus_B_plus_C_2502,market_segment=chi_next;segment_emotion_state_bucket=mixed;turnover_rate_bucket=10_15;first_time_detail_bucket=1000_1100,481,84,25,52,0,0,0,314,83,0.7142857142857143,0.05595651265182089,0.0304555790165525,0.4980539655009626,-0.11800704531551723,2.3386969083489646,500000.0,31616394.901836324,63.23278980367265,-0.13636773737941088,0,0,False,7,0,84,81,1.774785612336939,37,0.4864864864864865,-0.4263697837717991
