signal_date,status,strategy_leg,ts_code,name,buy_date,exit_date,account_return,equity_before,equity_after,blocked_by_leg,blocked_by_code,blocked_until,return_source,peak_equity,drawdown,entry_gate_enabled
20240816,EXECUTED,E,603324.SH,盛剑科技,20240819,20240821,-0.06487964002828853,995093.4954405207,930532.1876618484,,,,E_R1:36;first_time=before_1000,995093.4954405207,-0.0648796400282885,True
20240823,EXECUTED,E,300400.SZ,劲拓股份,20240826,20240828,-0.018369276911669473,930532.1876618484,913438.9842314663,,,,E_R1:33;first_time=1000_1100,995093.4954405207,-0.08205712486634886,True
20240829,EXECUTED,E,300438.SZ,鹏辉能源,20240830,20240902,0.006221465701834597,913438.9842314663,919121.9135425811,,,,E_R1:23;first_time=1000_1100,995093.4954405207,-0.0763461747524613,True
20240903,EXECUTED,A,300068.SZ,南都电源,20240904,20240905,0.05103572114787901,919121.9135425811,966029.9632230452,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),995093.4954405207,-0.02920683568995619,True
20240906,EXECUTED,A,300905.SZ,宝丽迪,20240909,20240910,0.11260484620879116,966029.9632230452,1074809.6186648605,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),1074809.6186648605,0.0,True
20240910,EXECUTED,A,300134.SZ,大富科技,20240911,20240912,0.05739355964835177,1074809.6186648605,1136496.7686243244,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),1136496.7686243244,0.0,True
20240913,EXECUTED,A,300072.SZ,海新能科,20240918,20240919,-0.02470603173508096,1136496.7686243244,1108418.4433918747,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),1136496.7686243244,-0.024706031735081124,True
20240920,EXECUTED,A,300085.SZ,银之杰,20240923,20240924,0.1955185624886879,1108418.4433918747,1325134.8240798032,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),1325134.8240798032,0.0,True
20240924,EXECUTED,E,300803.SZ,指南针,20240925,20240926,0.10562749345335536,1325134.8240798032,1465105.494035106,,,,E_R1:36;first_time=1100_1330,1465105.494035106,0.0,True
20240926,EXECUTED,C,002036.SZ,联创电子,20240927,20241008,0.21575685510355055,1465105.494035106,1781212.047823054,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),1781212.047823054,0.0,True
20241014,EXECUTED,D,000801.SZ,四川九洲,20241014,20241016,0.08770565217391312,1781212.047823054,1937434.4121374062,,,,D_T2_CLOSE;净收益×80%成交压力,1937434.4121374062,0.0,True
20241018,EXECUTED,D,300623.SZ,捷捷微电,20241018,20241022,0.05390543726235739,1937434.4121374062,2041872.6612908111,,,,D_T2_CLOSE;净收益×80%成交压力,2041872.6612908111,0.0,True
20241023,EXECUTED,D,600764.SH,中国海防,20241023,20241025,0.034048610038610004,2041872.6612908111,2111395.5872836006,,,,D_T2_CLOSE;净收益×80%成交压力,2111395.5872836006,0.0,True
20241029,EXECUTED,D,002474.SZ,榕基软件,20241029,20241031,0.011213389830508468,2111395.5872836006,2135071.489090227,,,,D_T2_CLOSE;净收益×80%成交压力,2135071.489090227,0.0,True
20241101,EXECUTED,D,920726.BJ,朱老六,20241101,20241105,0.4540270648464164,2135071.489090227,3104451.7305191304,,,,D_T2_CLOSE;净收益×80%成交压力,3104451.7305191304,0.0,True
20241108,EXECUTED,D,688010.SH,福光股份,20241108,20241112,0.13017906474820143,3104451.7305191304,3508586.3533540466,,,,D_T2_CLOSE;净收益×80%成交压力,3508586.3533540466,0.0,True
20241114,EXECUTED,A,920436.BJ,大地电气,20241115,20241118,0.14693321151464406,3508586.3533540466,4024114.21412881,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),4024114.21412881,0.0,True
20241119,EXECUTED,C,002366.SZ,融发核电,20241120,20241122,0.1774438434065936,4024114.21412881,4738168.506590931,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),4738168.506590931,0.0,True
20241122,EXECUTED,E,300220.SZ,金运激光,20241125,20241126,0.07951313816671145,4738168.506590931,5114915.153712655,,,,E_R1:25;first_time=before_1000,5114915.153712655,0.0,True
20241126,EXECUTED,E,002584.SZ,西陇科学,20241127,20241128,-0.026770565934065665,5114915.153712655,4977985.980343039,,,,E_R1:25;first_time=1100_1330,5114915.153712655,-0.026770565934065682,True
20241129,EXECUTED,D,920896.BJ,旺成科技,20241129,20241203,-0.044461153846153914,4977985.980343039,4756658.97982701,,,,D_T2_CLOSE;净收益×80%成交压力,5114915.153712655,-0.07004146952967649,True
20241204,EXECUTED,C,002629.SZ,仁智股份,20241205,20241209,0.11995649701893875,4756658.97982701,5327251.128560738,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),5327251.128560738,0.0,True
20241209,EXECUTED,D,603838.SH,四通股份,20241209,20241211,-0.007451538461538491,5327251.128560738,5287554.9118819935,,,,D_T2_CLOSE;净收益×80%成交压力,5327251.128560738,-0.007451538461538454,True
20241212,EXECUTED,D,605388.SH,均瑶健康,20241212,20241216,-0.05250219512195119,5287554.9118819935,5009946.672180333,,,,D_T2_CLOSE;净收益×80%成交压力,5327251.128560738,-0.059562511457223244,True
20241216,EXECUTED,C,002173.SZ,创新医疗,20241217,20241219,0.07251528855965478,5009946.672180333,5373244.400781972,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),5373244.400781972,0.0,True
20241220,EXECUTED,C,002009.SZ,天奇股份,20241223,20241225,-0.022388291965358603,5373244.400781972,5252946.636336037,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),5373244.400781972,-0.02238829196535863,True
20241226,EXECUTED,C,600006.SH,东风股份,20241227,20241231,-0.0479241492286557,5252946.636336037,5001203.637846104,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),5373244.400781972,-0.06923950134889179,True
20250102,EXECUTED,A,300947.SZ,德必集团,20250103,20250106,-0.030511252716151575,5001203.637846104,4848610.649766845,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),5373244.400781972,-0.09763817014144704,True
20250106,EXECUTED,A,920367.BJ,新赣江,20250107,20250108,0.05730215023351653,4848610.649766845,5126446.465643613,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),5373244.400781972,-0.04593089700190134,True
20250108,EXECUTED,E,301001.SZ,凯淳股份,20250109,20250110,0.05933355340206739,5126446.465643613,5430616.750775717,,,,E_R1:25;first_time=before_1000,5430616.750775717,0.0,True
20250114,EXECUTED,D,002815.SZ,崇达技术,20250114,20250116,-0.008357441860465066,5430616.750775717,5385230.687014641,,,,D_T2_CLOSE;净收益×80%成交压力,5430616.750775717,-0.008357441860465054,True
20250127,EXECUTED,E,002691.SZ,冀凯股份,20250205,20250206,0.25471352140716447,5385230.687014641,6756921.758894064,,,,E_R1:25;first_time=after_1430,6756921.758894064,0.0,True
20250206,EXECUTED,E,300766.SZ,每日互动,20250207,20250211,0.35178716940561505,6756921.758894064,9133920.138350617,,,,E_R1:33;first_time=open_auction,9133920.138350617,0.0,True
20250212,EXECUTED,C,601116.SH,三江购物,20250213,20250217,0.19761560200549463,9133920.138350617,10938925.265160885,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),10938925.265160885,0.0,True
20250217,EXECUTED,D,603583.SH,捷昌驱动,20250217,20250219,0.1198523515647851,10938925.265160885,12249981.181781858,,,,D_T2_CLOSE;净收益×80%成交压力,12249981.181781858,0.0,True
20250219,EXECUTED,D,920533.BJ,骏创科技,20250219,20250221,0.027871736334405057,12249981.181781858,12591409.427381905,,,,D_T2_CLOSE;净收益×80%成交压力,12591409.427381905,0.0,True
