signal_date,candidate_rank,planned_action,ts_code,name,market_segment,profit_source_score,planned_position_pct,selection_reason,sort_rule,exit_rule,risk_flags,fill_probability,allow_buy_reliable,is_fill_score_reliable,fd_ratio_bucket,fd_amount_to_circ_mv,segment_limit_up_count_bucket,market_chain_count_bucket,market_limit_down_count_bucket,retreat_state_bucket,market_emotion_state_bucket,segment_emotion_state_bucket,first_time_detail_bucket,turnover_rate_bucket,amount_ratio_bucket,prev_pct_chg_bucket,amount,turnover_rate,volume_ratio,open_times,limit_times,first_time,last_time,paper_note,historical_reference_next_trade_date,historical_reference_next_open,historical_reference_exit_trade_date,historical_reference_exit_close,historical_reference_net_return,historical_reference_is_win,trade_date
20240730,1,PLAN_BUY_T1_OPEN,603716.SH,塞力医疗,sh_main,3.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_1pct_0_3pct,0.0017181315960759,20_40,15_30,lt_5,neutral,mixed,warming,1100_1330,gte_25,2_3,7_10,386224.14,28.1565,1.96,6.0,2.0,132406,145006,该候选只用于模拟盘计划，不代表实盘可买入。,20240731,6.64,20240801,7.05,0.0581269879518073,True,20240730
20240815,1,PLAN_BUY_T1_OPEN,301182.SZ,凯旺科技,chi_next,2.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,gte_5pct,0.0646786223614674,10_20,8_15,lt_5,neutral,mixed,warming,1100_1330,gte_25,1_2_2,3_7,350548.409,45.1156,2.18,1.0,1.0,131533,135400,该候选只用于模拟盘计划，不代表实盘可买入。,20240816,23.76,20240819,22.69,-0.04865367003367,False,20240815
20240816,1,PLAN_BUY_T1_OPEN,300460.SZ,惠伦晶体,chi_next,2.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.018093743175083,10_20,8_15,5_15,retreat_weak,mixed,warming,1100_1330,15_25,2_3,3_7,557741.172,19.5241,4.03,0.0,1.0,131442,131442,该候选只用于模拟盘计划，不代表实盘可买入。,20240819,11.11,20240820,10.89,-0.0234219801980197,False,20240816
20240829,1,PLAN_BUY_T1_OPEN,603666.SH,亿嘉和,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0057215714609312,10_20,8_15,lt_5,warming_2day,warming,warming,1100_1330,10_15,1_2_2,7_10,472323.855,12.6569,1.24,4.0,2.0,111145,111600,该候选只用于模拟盘计划，不代表实盘可买入。,20240830,19.25,20240902,17.15,-0.1127109090909091,False,20240829
20240830,1,PLAN_BUY_T1_OPEN,603883.SH,老百姓,sh_main,1.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0051383520025446,20_40,8_15,lt_5,warming_2day,warming,warming,1100_1330,3_6,2_3,0_3,534857.98,5.5423,3.09,0.0,1.0,132400,132400,该候选只用于模拟盘计划，不代表实盘可买入。,20240902,13.44,20240903,13.46,-0.0021319047619046,False,20240830
20240924,1,PLAN_BUY_T1_OPEN,601595.SH,上海电影,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_1pct_0_3pct,0.0018817492190986,40_80,8_15,lt_5,warming_2day,warming,warming,1100_1330,3_6,3_5,neg3_0,442962.111,5.2542,3.39,8.0,1.0,132614,144005,该候选只用于模拟盘计划，不代表实盘可买入。,20240925,19.85,20240926,21.4,0.0744656423173801,True,20240924
20240927,1,PLAN_BUY_T1_OPEN,301169.SZ,零点有数,chi_next,2.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.0243402632920832,20_40,gte_30,lt_5,neutral,main_rise,warming,1100_1330,gte_25,2_3,0_3,496990.928,47.5183,2.55,4.0,1.0,130033,144224,该候选只用于模拟盘计划，不代表实盘可买入。,20240930,42.0,20241008,57.48,0.3649514285714285,True,20240927
20240930,1,PLAN_BUY_T1_OPEN,300333.SZ,兆日科技,chi_next,2.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_3pct_0_5pct,0.0032513761944274,gte_80,gte_30,lt_5,neutral,climax,warming,1100_1330,gte_25,1_2_2,7_10,923586.702,31.431,1.28,4.0,1.0,130039,143700,该候选只用于模拟盘计划，不代表实盘可买入。,20241008,11.23,20241009,12.05,0.0693986999109527,True,20240930
20241008,1,PLAN_BUY_T1_OPEN,920099.BJ,瑞华技术,bj,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.012458017279352,40_80,gte_30,lt_5,warming_2day,warming,warming,1100_1330,gte_25,1_2_2,gte_10,341230.333,55.4575,0.0,4.0,1.0,130431,140710,该候选只用于模拟盘计划，不代表实盘可买入。,20241009,36.0,20241010,33.28,-0.0791755555555554,False,20241008
20241018,1,PLAN_BUY_T1_OPEN,920346.BJ,威贸电子,bj,2.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.0156421274339696,10_20,15_30,lt_5,neutral,main_rise,warming,1100_1330,gte_25,2_3,3_7,258833.65,52.3099,3.66,4.0,1.0,130045,145248,该候选只用于模拟盘计划，不代表实盘可买入。,20241021,21.78,20241022,22.62,0.0349474931129476,True,20241018
20241021,1,PLAN_BUY_T1_OPEN,920926.BJ,鸿智科技,bj,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.029181894442268,20_40,gte_30,lt_5,warming_2day,warming,warming,1100_1330,gte_25,1_2_2,3_7,176884.648,58.7106,1.56,1.0,1.0,112209,141836,该候选只用于模拟盘计划，不代表实盘可买入。,20241022,20.5,20241023,19.38,-0.0582541463414634,False,20241021
20241022,1,PLAN_BUY_T1_OPEN,002229.SZ,鸿博股份,sz_main,2.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高;LOSS_OVERLAY_WATCH,1.0,True,True,1pct_2pct,0.0158123488739132,40_80,gte_30,lt_5,neutral,main_rise,warming,1100_1330,15_25,2_3,0_3,1369148.512,23.1573,2.63,2.0,1.0,130600,142842,该候选只用于模拟盘计划，不代表实盘可买入。,20241023,12.79,20241024,13.89,0.0823846911649727,True,20241022
20241028,1,PLAN_BUY_T1_OPEN,000790.SZ,华神科技,sz_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_3pct_0_5pct,0.0032087076565557,gte_80,gte_30,lt_5,warming_2day,warming,warming,1100_1330,15_25,2_3,7_10,614667.8,21.1672,3.16,7.0,2.0,133003,140912,该候选只用于模拟盘计划，不代表实盘可买入。,20241029,4.88,20241030,4.79,-0.0220626229508196,False,20241028
20241031,1,PLAN_BUY_T1_OPEN,002248.SZ,华东数控,sz_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_1pct_0_3pct,0.0025031738161385,gte_80,gte_30,lt_5,warming_2day,warming,warming,1100_1330,gte_25,1_2_2,lt_neg3,1142611.486,33.4453,1.21,5.0,1.0,112924,145503,该候选只用于模拟盘计划，不代表实盘可买入。,20241101,10.98,20241104,9.56,-0.1329460473588342,False,20241031
20241105,1,PLAN_BUY_T1_OPEN,920726.BJ,朱老六,bj,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.0455659752546236,10_20,gte_30,lt_5,warming_2day,warming,warming,1100_1330,gte_25,1_2_2,gte_10,345821.894,27.2825,1.54,0.0,3.0,131902,131902,该候选只用于模拟盘计划，不代表实盘可买入。,20241106,27.5,20241107,26.0,-0.0581654545454545,False,20241105
20241106,1,PLAN_BUY_T1_OPEN,920720.BJ,吉冈精密,bj,4.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高;LOSS_OVERLAY_WATCH,1.0,True,True,1pct_2pct,0.0114129895968483,10_20,gte_30,5_15,neutral,main_rise,warming,1100_1330,gte_25,2_3,3_7,491983.772,47.3951,2.06,3.0,1.0,130039,145115,该候选只用于模拟盘计划，不代表实盘可买入。,20241107,24.0,20241108,25.08,0.0413799999999999,True,20241106
20241119,1,PLAN_BUY_T1_OPEN,002366.SZ,融发核电,sz_main,2.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.005598407767141,40_80,15_30,5_15,warming_2day,warming,warming,1100_1330,10_15,3_5,0_3,703539.259,11.625,3.06,3.0,1.0,130524,143833,该候选只用于模拟盘计划，不代表实盘可买入。,20241120,4.89,20241121,5.53,0.1272593456032721,True,20241119
20241120,1,PLAN_BUY_T1_OPEN,002657.SZ,中科金财,sz_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_1pct_0_3pct,0.0029158070979289,40_80,gte_30,lt_5,warming_2day,warming,warming,1100_1330,gte_25,1_2_2,lt_neg3,4210020.689,48.9819,2.28,11.0,1.0,130915,144415,该候选只用于模拟盘计划，不代表实盘可买入。,20241121,26.0,20241122,22.57,-0.1355430769230769,False,20241120
20241129,1,PLAN_BUY_T1_OPEN,603536.SH,惠发食品,sh_main,4.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0065072350989191,40_80,gte_30,5_15,neutral,main_rise,warming,1100_1330,15_25,1_2_2,0_3,484862.818,17.806,2.59,1.0,1.0,131247,143020,该候选只用于模拟盘计划，不代表实盘可买入。,20241202,11.58,20241203,11.08,-0.0467978929188255,False,20241129
20241202,1,PLAN_BUY_T1_OPEN,301392.SZ,汇成真空,chi_next,2.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.0218409472298779,10_20,gte_30,5_15,warming_2day,warming,warming,1100_1330,gte_25,3_5,0_3,619816.195,37.209,3.18,4.0,1.0,130315,144615,该候选只用于模拟盘计划，不代表实盘可买入。,20241203,88.05,20241204,77.05,-0.1285490176036343,False,20241202
20241211,1,PLAN_BUY_T1_OPEN,603533.SH,掌阅科技,sh_main,2.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_3pct_0_5pct,0.0040134852836147,40_80,gte_30,5_15,warming_2day,warming,warming,1100_1330,15_25,1_2_2,0_3,1900845.158,17.5387,2.14,1.0,1.0,130314,142432,该候选只用于模拟盘计划，不代表实盘可买入。,20241212,26.76,20241213,29.55,0.1006400896860985,True,20241211
20241212,1,PLAN_BUY_T1_OPEN,600979.SH,广安爱众,sh_main,4.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,LOSS_OVERLAY_WATCH,1.0,True,True,0_5pct_1pct,0.0083576759410448,40_80,gte_30,5_15,neutral,main_rise,warming,1100_1330,gte_25,2_3,gte_10,2097708.821,26.7307,1.68,2.0,3.0,130325,141319,该候选只用于模拟盘计划，不代表实盘可买入。,20241213,6.81,20241216,6.93,0.0140011453744492,True,20241212
20250114,1,PLAN_BUY_T1_OPEN,002717.SZ,岭南股份,sz_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.006901901214254,40_80,15_30,lt_5,warming_2day,warming,warming,1100_1330,15_25,1_2_2,lt_neg3,1072159.469,19.7516,0.78,0.0,1.0,132124,132124,该候选只用于模拟盘计划，不代表实盘可买入。,20250115,3.55,20250116,3.61,0.0132814084507042,True,20250114
20250123,1,PLAN_BUY_T1_OPEN,603598.SH,引力传媒,sh_main,2.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.0100809033277844,10_20,8_15,15_30,neutral,mixed,warming,1100_1330,15_25,1_2_2,lt_neg3,1027145.235,20.2314,0.97,3.0,1.0,110322,112746,该候选只用于模拟盘计划，不代表实盘可买入。,20250124,19.88,20250127,20.78,0.0416516297786721,True,20250123
20250124,1,PLAN_BUY_T1_OPEN,002965.SZ,祥鑫科技,sz_main,1.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,lt_0_1pct,0.0002088610265957,20_40,8_15,15_30,warming_2day,warming,warming,1100_1330,15_25,1_2_2,neg3_0,1707477.63,24.4318,1.46,12.0,1.0,110821,145633,该候选只用于模拟盘计划，不代表实盘可买入。,20250127,46.5,20250205,44.36,-0.049641505376344,False,20250124
20250206,1,PLAN_BUY_T1_OPEN,002213.SZ,大为股份,sz_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.0232034423536264,20_40,15_30,lt_5,warming_2day,warming,warming,1100_1330,gte_25,2_3,gte_10,880493.746,27.2193,2.11,1.0,2.0,131333,131842,该候选只用于模拟盘计划，不代表实盘可买入。,20250207,18.17,20250210,17.84,-0.0217818051733627,False,20250206
20250207,1,PLAN_BUY_T1_OPEN,002175.SZ,东方智造,sz_main,2.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.0125804642980281,20_40,15_30,lt_5,neutral,main_rise,warming,1100_1330,15_25,2_3,3_7,1624322.02,24.9072,2.2,1.0,1.0,132327,144803,该候选只用于模拟盘计划，不代表实盘可买入。,20250210,5.42,20250211,5.61,0.0314353505535056,True,20250207
20250210,1,PLAN_BUY_T1_OPEN,002987.SZ,京北方,sz_main,2.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0090172947314452,40_80,gte_30,lt_5,neutral,main_rise,warming,1100_1330,3_6,2_3,0_3,569843.998,5.9164,2.56,0.0,1.0,132509,132509,该候选只用于模拟盘计划，不代表实盘可买入。,20250211,16.49,20250212,16.62,0.0042635657974531,True,20250210
