scenario,signal_date,strategy_leg,operation_status,ts_code,name,market_segment,risk_flags,account_return,equity_before,equity_after,return_source,active_position,buy_executed,sell_executed,buy_reject_reason,sell_reject_reason,buy_trade_date,exit_trade_date,buy_price,exit_price,path_conflict,limit_down_blocked_days,live_order_enabled,initial_equity,peak_equity,drawdown,residual_filter_scenario,residual_filter_description
A_plus_B_strict,20260320,NONE,NO_CANDIDATE,,,,,0.0,582058.1393040032,582058.1393040032,,,False,False,,,,,,,False,0,False,500000.0,582058.1393040032,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260323,NONE,NO_CANDIDATE,,,,,0.0,582058.1393040032,582058.1393040032,,,False,False,,,,,,,False,0,False,500000.0,582058.1393040032,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260324,NONE,NO_CANDIDATE,,,,,0.0,582058.1393040032,582058.1393040032,,,False,False,,,,,,,False,0,False,500000.0,582058.1393040032,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260325,B,HISTORICAL_SIM_FILLED,603829.SH,洛凯股份,sh_main,无,0.0017810469626826726,582058.1393040032,583094.8121851153,b_conservative_daily_replay,,True,True,,,20260326,20260327,29.059029999999996,29.1708,False,0,False,500000.0,583094.8121851153,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260326,A_OR_B,POSITION_OCCUPIED_SKIP,,,,,0.0,583094.8121851153,583094.8121851153,,603829.SH 洛凯股份,False,False,,,,,,,False,0,False,500000.0,583094.8121851153,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260327,A,HISTORICAL_SIM_FILLED,300204.SZ,舒泰神,chi_next,无,0.0397618491523106,583094.8121851153,606279.7401487147,a_audit_dynamic_account_return,,False,False,,,,,,,False,0,False,500000.0,606279.7401487147,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260330,A_OR_B,POSITION_OCCUPIED_SKIP,,,,,0.0,606279.7401487147,606279.7401487147,,300204.SZ 舒泰神,False,False,,,,,,,False,0,False,500000.0,606279.7401487147,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260331,NONE,NO_CANDIDATE,,,,,0.0,606279.7401487147,606279.7401487147,,,False,False,,,,,,,False,0,False,500000.0,606279.7401487147,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260401,NONE,NO_CANDIDATE,,,,,0.0,606279.7401487147,606279.7401487147,,,False,False,,,,,,,False,0,False,500000.0,606279.7401487147,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260402,NONE,NO_CANDIDATE,,,,,0.0,606279.7401487147,606279.7401487147,,,False,False,,,,,,,False,0,False,500000.0,606279.7401487147,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260403,NONE,NO_CANDIDATE,,,,,0.0,606279.7401487147,606279.7401487147,,,False,False,,,,,,,False,0,False,500000.0,606279.7401487147,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260407,NONE,NO_CANDIDATE,,,,,0.0,606279.7401487147,606279.7401487147,,,False,False,,,,,,,False,0,False,500000.0,606279.7401487147,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260408,B,HISTORICAL_SIM_FILLED,603083.SH,剑桥科技,sh_main,无,0.02050690266715481,606279.7401487147,618712.6597690122,b_conservative_daily_replay,,True,True,,,20260409,20260410,113.04293,116.12375999999999,False,0,False,500000.0,618712.6597690122,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
