scenario,signal_date,strategy_leg,operation_status,ts_code,name,market_segment,risk_flags,account_return,equity_before,equity_after,return_source,active_position,buy_executed,sell_executed,buy_reject_reason,sell_reject_reason,buy_trade_date,exit_trade_date,buy_price,exit_price,path_conflict,limit_down_blocked_days,live_order_enabled,initial_equity,peak_equity,drawdown
B_strict,20240925,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20240926,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20240927,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20240930,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20241008,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20241009,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20241010,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20241011,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20241014,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20241015,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20241016,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20241017,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20241018,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20241021,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20241022,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20241023,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20241024,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20241025,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20241028,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20241029,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
