paper_trade_id,signal_date,ts_code,name,market_segment,signal_status,planned_position_pct,actual_position_pct,strategy_name,conditions,sort_rule,exit_rule,profit_source_score,risk_note
PT00011,20241217,300739.SZ,明阳电路,chi_next,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,-1.5,无
PT00012,20241223,920725.BJ,惠丰钻石,bj,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,0.0,无
PT00013,20241227,300599.SZ,雄塑科技,chi_next,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,3.5,单笔亏损预警
PT00014,20250102,300947.SZ,德必集团,chi_next,ACCEPTED,0.8,0.7999999999999999,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,-0.5,无
PT00015,20250106,920367.BJ,新赣江,bj,ACCEPTED,0.8,0.7999999999999999,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,3.0,无
PT00016,20250219,920533.BJ,骏创科技,bj,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,2.0,无
PT00017,20250228,920284.BJ,灵鸽科技,bj,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,0.0,无
PT00018,20250305,920425.BJ,乐创技术,bj,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,3.0,无
PT00019,20250310,301225.SZ,恒勃股份,chi_next,ACCEPTED,0.8,0.8000000000000002,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,4.5,无
PT00020,20250407,920087.BJ,秋乐种业,bj,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,0.0,无
PT00021,20250415,920273.BJ,一致魔芋,bj,ACCEPTED,0.8,0.7999999999999999,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,4.5,无
PT00022,20250423,301000.SZ,肇民科技,chi_next,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,1.8,无
PT00023,20250508,302132.SZ,中航成飞,other,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,4.5,无
PT00024,20250516,301260.SZ,格力博,chi_next,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,3.8,无
PT00025,20250522,300418.SZ,昆仑万维,chi_next,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,0.7999999999999998,无
PT00026,20250605,920748.BJ,路桥信息,bj,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,4.5,无
