signal_date,strategy_leg,ts_code,name,buy_date,exit_rule,hold_offset,matched_condition_profile_ids,fill_probability,planned_buy_amount,available_fill_amount,status,exit_date,stock_return_before_fees,entry_reference_price,entry_price,exit_reference_price,exit_price,buy_adj_factor,sell_adj_factor,position_scale,account_return,entry_filled,position_opened,outcome_observable,position_open_until,action_date
20231228,A,300751.SZ,迈为股份,20231229,FIXED_T2_CLOSE,2,A_FD_0_3PCT_0_5PCT,1.0,412500.0,2849348099.7900376,OK,20240102,-0.04491959168650883,133.0,133.13299999999998,127.28,127.15272,4.696,4.696,1.0,-0.037952645624225276,True,True,True,20240102,20231229
20240102,A,300478.SZ,杭州高新,20240103,FIXED_T2_CLOSE,2,A_FD_1PCT_2PCT_NON_ONE_WORD_FALLBACK,1.0,412500.0,252014901.97979796,OK,20240104,-0.08577431895220022,15.01,15.025009999999998,13.75,13.73625,1.929,1.929,1.0,-0.07163049444692537,True,True,True,20240104,20240103
20240112,A,300197.SZ,节能铁汉,20240115,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,204843143.514528,OK,20240116,-0.049936962600718005,2.29,2.29229,2.18,2.17782,31.695,31.695,1.0,-0.04208862377033442,True,True,True,20240116,20240115
20240228,A,301138.SZ,华研精机,20240229,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,137064654.3,OK,20240301,0.024948051948052052,30.0,30.029999999999998,30.81,30.77919,1.0544,1.0544,1.0,0.019641471321428655,True,True,True,20240301,20240229
20240308,A,300810.SZ,中科海讯,20240311,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,285356421.191008,OK,20240312,-0.03446633366633334,18.75,18.768749999999997,18.14,18.12186,1.508,1.508,1.0,-0.029335693147252474,True,True,True,20240312,20240311
20240319,A,300913.SZ,兆龙互连,20240320,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,1030916945.11071,OK,20240321,0.07423492170480128,41.5,41.54149999999999,44.67,44.62533,2.126,2.126,1.0,0.06027020292003181,True,True,True,20240321,20240320
20240327,A,300261.SZ,雅本化学,20240328,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,813198015.3996391,OK,20240329,0.0575418899282536,7.04,7.047039999999999,7.46,7.45254,9.306,9.306,1.0,0.04650960682286466,True,True,True,20240329,20240328
20240403,A,301500.SZ,飞南资源,20240408,FIXED_T2_CLOSE,2,A_FD_0_3PCT_0_5PCT,1.0,412500.0,144800257.8608,OK,20240409,0.0062886571911844324,27.7,27.727699999999995,27.93,27.90207,1.0,1.0,1.0,0.004259939787559147,True,True,True,20240409,20240408
20240430,A,300177.SZ,中海达,20240506,FIXED_T2_CLOSE,2,A_FD_1PCT_2PCT_NON_ONE_WORD_FALLBACK,1.0,412500.0,367086423.03803754,OK,20240507,0.05225675611941716,6.99,6.996989999999999,7.37,7.36263,12.276,12.276,1.0,0.042152903221242356,True,True,True,20240507,20240506
20240520,A,300162.SZ,雷曼光电,20240521,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,200774560.64552897,OK,20240522,0.5053895684147787,7.14,7.1471399999999985,10.77,10.759229999999999,5.29,5.29,1.0,0.4156846673630991,True,True,True,20240522,20240521
20240703,A,300120.SZ,经纬辉开,20240704,FIXED_T2_CLOSE,2,A_FD_0_3PCT_0_5PCT,1.0,412500.0,423246759.027534,OK,20240705,0.08283216783216796,6.0,6.005999999999999,6.51,6.50349,3.424,3.424,1.0,0.06735718586538472,True,True,True,20240705,20240704
20240712,A,300582.SZ,英飞特,20240715,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,297729367.6006,OK,20240716,0.03804219852364277,9.97,9.97997,10.37,10.35963,2.328,2.328,1.0,0.030435392082841857,True,True,True,20240716,20240715
20240802,A,300149.SZ,睿智医药,20240805,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,179516266.956483,OK,20240806,0.27490428646498,5.19,5.19519,6.63,6.6233699999999995,6.558,6.558,1.0,0.22568833154417828,True,True,True,20240806,20240805
20240805,A,300329.SZ,海伦钢琴,20240806,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,157422899.827652,OK,20240807,0.006853456964321714,4.51,4.51451,4.55,4.54545,3.732,3.732,1.0,0.004725522172949005,True,True,True,20240807,20240806
20240807,A,300342.SZ,天银机电,20240808,FIXED_T2_CLOSE,2,A_FD_1PCT_2PCT_NON_ONE_WORD_FALLBACK,1.0,412500.0,865500946.7796599,OK,20240809,-0.13047781992260332,16.39,16.40639,14.28,14.26572,4.444,4.444,1.0,-0.10848100963298445,True,True,True,20240809,20240808
20240903,A,300068.SZ,南都电源,20240904,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,1863089553.8124468,OK,20240905,0.06303253653383978,11.51,11.52151,12.26,12.24774,2.6134,2.6134,1.0,0.05103572114787907,True,True,True,20240905,20240904
20240906,A,300905.SZ,宝丽迪,20240909,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,459976227.3953301,OK,20240910,0.13772227772227774,26.5,26.5265,30.21,30.17979,2.14,2.14,1.0,0.1126048462087912,True,True,True,20240910,20240909
20240910,A,300134.SZ,大富科技,20240911,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,1455624898.1410189,OK,20240912,0.07074525474525495,11.25,11.261249999999999,12.07,12.05793,4.327,4.327,1.0,0.057393559648351807,True,True,True,20240912,20240911
20240913,A,300072.SZ,海新能科,20240918,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,560736819.590986,OK,20240919,-0.02885007369312298,2.23,2.23223,2.17,2.16783,20.403,20.403,1.0,-0.024706031735081027,True,True,True,20240919,20240918
20240920,A,300085.SZ,银之杰,20240923,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,1691995659.0452209,OK,20240924,0.23830522418757738,12.75,12.762749999999999,15.82,15.80418,10.985,10.985,1.0,0.19551856248868799,True,True,True,20240924,20240923
20241114,A,300386.SZ,飞天诚信,20241115,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,688405548.539014,OK,20241118,-0.14262555626191964,19.8,19.819799999999997,17.01,16.992990000000002,4.516,4.516,1.0,-0.11849477438811166,True,True,True,20241118,20241115
20241217,A,300739.SZ,明阳电路,20241218,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,717013248.344477,OK,20241219,0.04129026054159746,16.83,16.846829999999997,17.56,17.54244,2.527,2.527,1.0,0.03311287273021098,True,True,True,20241219,20241218
20241223,A,301071.SZ,力量钻石,20241224,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,675006363.236138,OK,20241225,-0.006662844991137229,36.37,36.406369999999995,36.2,36.1638,3.7434,3.7434,1.0,-0.0064163946715228865,True,True,True,20241225,20241224
20241227,A,300599.SZ,雄塑科技,20241230,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,114797968.19591253,OK,20241231,-0.09704581133152557,7.98,7.987979999999999,7.22,7.2127799999999995,1.117,1.117,1.0,-0.0809219434850863,True,True,True,20241231,20241230
